ID,name,type,duration,participants
AERO 256,Aerospace Structures,LECTURE,2,LEC031 ED1-AERO
AERO 174,Aerospace Design Project I,LAB_SESSION,2,LEC018 ED1-AERO
AERO 174,Aerospace Design Project I,LAB_SESSION,2,LEC018 ED1-AERO
AE 498,Project II,LAB_SESSION,2,LEC00 ED4-AE
AE 498,Project II,LAB_SESSION,2,LEC00 ED4-AE
AE 460,Maintenance and Repairs of Agric. Machinery,LECTURE,2,LEC233 ED4-AE
TE 472,Mobile And Satellite Communication System,LECTURE,2,LEC245 ED4-EE
TE 472,Mobile and Satellite Communication Systems,LECTURE,2,LEC193 ED4-TEL
TE 386,Digital Communication Systems,LECTURE,2,LEC245 ED3-EE
TE 386,Digital Communication Systems(TE),LECTURE,2,LEC192 ED3-TEL
TE 384,Switching Engineering In Communication,LECTURE,2,LEC245 ED3-EE
TE 384,Switching Engineering in Communication,LECTURE,2,LEC188 ED3-TEL
TE 382,Data Communication Networks,LECTURE,2,LEC193 ED3-TEL
TE 372,Antennas And Propagation,LECTURE,2,LEC245 ED3-EE
TE 372,Antennas and Propagation,LECTURE,2,LEC185 ED3-TEL
TE 262,Electromagnetic Fields (TE),LECTURE,2,LEC196 ED2-TEL
SOC 152,Introduction To Sociology,LECTURE,2,LEC204 ED1-BME
PHY 170,General Physics,LECTURE,2,LEC125 ED1-PCE
PHY 170,General Physics,LECTURE,2,LEC125 ED1-CHE
PETE 456,Well Completion and Stimulation,LECTURE,2,LEC131 ED4-PETE
PETE 452,Petroleum Project Evaluation,LECTURE,2,LEC137 ED4-PETE
PETE 450,Natural Gas Engineering,LECTURE,2,LEC136 ED4-PETE
PETE 358,Well Performance,LECTURE,2,LEC133 ED3-PETE
PETE 354,Petroleum Production Engineering,LECTURE,2,LEC160 ED3-PCE
PETE 354,Petroleum Production Engineering,LECTURE,2,LEC124 ED3-PETE
PETE 352,Petroleum Geology,LECTURE,2,LEC132 ED3-PETE
PETE 350,Drilling Engineering,LECTURE,2,LEC131 ED3-PETE
PCE 350,Kinetics And Reactions Engineering,LECTURE,2,LEC165 ED3-PCE
MSE 456,Materials Quality Control Assurance And Selection,LECTURE,2,LEC060 ED4-METE
MSE 456,Mat Quality Control Assurance and Selection,LECTURE,2,LEC077 ED4-MSE
MSE 454,Surface Treatment of Materials,LECTURE,2,LEC067 ED4-MSE
MSE 452,Waste Management,LECTURE,2,LEC062 ED4-METE
MSE 452,Waste Management,LECTURE,2,LEC062 ED4-MSE
MSE 362,Materials Joining Processes,LECTURE,2,LEC063 ED3-METE
MSE 362,Materials Joining Processes,LECTURE,2,LEC063 ED3-MSE
MSE 360,Computer Applications,LECTURE,2,LEC055 ED3-MSE
MSE 352,Engineering Ceramics II,LECTURE,2,LEC067 ED3-MSE
MSE 282,Mechanical Engineering Materials,LECTURE,2,LEC064 ED2-AE
MSE 254,Materials Processing,LECTURE,2,LEC069 ED2-MSE
